AQI,PM2.5,PM10,SO2,NO2,O3,CO
-0.8688760121248296,-0.5917766473040074,-1.2230266114446289,-0.4532735091764653,0.10468716854529996,-1.4608465795856589,-0.13574990649749508
-0.9120822375163159,-0.6436110981627525,-1.3813318109632122,-0.4532735091764653,-0.23058658535203438,-1.3397881134201248,-0.13574990649749508
-0.8688760121248296,-0.5917766473040074,-1.3417555110835664,-0.20520157742530815,-0.5658603392493687,-1.1884650307132076,-0.13574990649749508
-0.6528448851673977,-0.43627329472777177,-1.3813318109632122,-0.20520157742530815,-0.7754064354352027,-1.0976711810890571,-0.13574990649749508
-0.48001998360145215,-0.2807699421515363,-1.183450311564983,-0.4532735091764653,-0.6077695584865356,-1.3397881134201248,0.23711662842245312
-0.13437018046956112,0.03023676300093481,-0.7876873127685249,-0.4532735091764653,-0.48204190077503517,-1.4608465795856589,-0.13574990649749508
-0.43681375820996576,-0.2289354912927911,-0.985568812166754,-0.4532735091764653,-0.6496787777237023,-1.218729647254591,-0.13574990649749508
-0.6096386597759113,-0.3844388438690266,-1.0647214119260457,-0.4532735091764653,-0.5658603392493687,-1.1884650307132076,0.23711662842245312
-0.7824635613418568,-0.5399421964452621,-1.1042977118056916,-0.4532735091764653,-0.7754064354352027,-0.7344957825924555,-0.13574990649749508
-1.3441444914311798,-1.0064522541739687,-1.420908110842858,-0.4532735091764653,-0.9430433123838698,-0.5226434668027712,-0.5086164414174432
-1.3441444914311798,-1.0582867050327138,-1.420908110842858,-0.4532735091764653,-0.8173156546723696,-0.5831726998855381,-0.13574990649749508
-1.3009382660396933,-1.0582867050327138,-1.420908110842858,-0.4532735091764653,-0.9011340931467031,-0.4621142337200042,-0.13574990649749508
-1.2145258152567204,-1.4211278610439302,-1.5792133103614414,-0.4532735091764653,-0.9011340931467031,-0.2805265344717034,-0.13574990649749508
-1.2145258152567204,-1.4211278610439302,-1.5792133103614414,-0.4532735091764653,-0.9011340931467031,-0.21999730138893644,-0.13574990649749508
-1.1713195898652342,-1.4729623119026753,-1.5792133103614414,-0.4532735091764653,-0.8592248739095363,-0.18973268484755298,-0.13574990649749508
-1.1713195898652342,-1.3174589593264399,-1.5792133103614414,-0.4532735091764653,-0.9430433123838698,-0.12920345176478604,-0.13574990649749508
-1.2145258152567204,-1.2137900576089495,-1.5000607106021497,-0.4532735091764653,-0.7334972161980359,-0.2805265344717034,-0.13574990649749508
-1.2145258152567204,-0.9027833524564783,-1.3813318109632122,-0.4532735091764653,-0.7334972161980359,-0.31079115101308685,-0.13574990649749508
-1.2145258152567204,-1.110121155891459,-1.2626029113242747,-0.4532735091764653,-0.7334972161980359,-0.25026191793031993,-0.13574990649749508
-1.2145258152567204,-1.110121155891459,-1.3813318109632122,-0.4532735091764653,-0.6496787777237023,-0.25026191793031993,-0.13574990649749508
-1.2145258152567204,-0.9546178033152235,-1.1438740116853372,-0.4532735091764653,-0.6496787777237023,-0.2805265344717034,-0.13574990649749508
-1.041700913690775,-0.7472799998802429,-0.985568812166754,-0.4532735091764653,-0.8173156546723696,-0.09893883522340256,-0.13574990649749508
-0.9984946882992887,-0.6954455490214977,-0.8668399125278164,-0.4532735091764653,-0.6915879969608691,-0.25026191793031993,-0.13574990649749508
-1.0849071390822613,-0.799114450738988,-1.1042977118056916,-0.4532735091764653,-0.8173156546723696,-0.37132038409585383,-0.13574990649749508
-1.3009382660396933,-0.9546178033152235,-1.3021792112039206,-0.4532735091764653,-0.9849525316210367,-0.43184961717862075,-0.13574990649749508
-1.2145258152567204,-0.9546178033152235,-1.2626029113242747,-0.4532735091764653,-1.152589408569704,-0.25026191793031993,-0.13574990649749508
-1.2145258152567204,-1.0582867050327138,-1.3417555110835664,-0.4532735091764653,-1.2364078470440374,-0.31079115101308685,0.23711662842245312
-0.9984946882992887,-0.6954455490214977,-1.183450311564983,-0.4532735091764653,-1.1944986278068705,-0.21999730138893644,0.6099831633424018
-0.7392573359503704,-0.488107745586517,-0.8668399125278164,-0.4532735091764653,-1.152589408569704,-0.18973268484755298,0.6099831633424018
-0.5664324343844249,-0.33260439301028144,-0.748111012888879,-0.20520157742530815,-1.152589408569704,-0.21999730138893644,0.6099831633424018
-0.9120822375163159,-0.6436110981627525,-0.6689584131295874,-0.20520157742530815,-0.9849525316210367,-0.34105576755447037,0.9828496982623499
-0.7392573359503704,-0.488107745586517,-0.5898058133702957,-0.20520157742530815,-0.8592248739095363,-0.4923788502613877,0.9828496982623499
-0.6096386597759113,-0.3844388438690266,-0.43150061385171234,-0.20520157742530815,-0.7334972161980359,-0.6739665495096885,0.9828496982623499
-0.22078263125253386,-0.07343213871655555,-0.43150061385171234,-0.4532735091764653,-0.7334972161980359,-0.6134373164269216,0.9828496982623499
-0.6096386597759113,-0.3844388438690266,-0.5898058133702957,-0.20520157742530815,-0.9011340931467031,-0.31079115101308685,0.9828496982623499
-0.5664324343844249,-0.33260439301028144,-0.6293821132499415,-0.20520157742530815,-0.8592248739095363,-0.21999730138893644,0.9828496982623499
-0.5664324343844249,-0.33260439301028144,-0.6689584131295874,-0.20520157742530815,-0.9849525316210367,-0.06867421868201909,0.9828496982623499
-0.7392573359503704,-0.488107745586517,-0.7085347130092332,-0.4532735091764653,-0.9849525316210367,0.08264886402489827,0.9828496982623499
-0.7824635613418568,-0.5399421964452621,-0.7085347130092332,-0.20520157742530815,-0.9430433123838698,0.2642365632731991,0.9828496982623499
-0.9120822375163159,-0.6436110981627525,-0.7085347130092332,-0.20520157742530815,-0.8592248739095363,0.385295029438733,0.9828496982623499
-0.7824635613418568,-0.5399421964452621,-0.5502295134906499,-0.20520157742530815,-0.7754064354352027,0.41555964598011647,0.9828496982623499
-0.48001998360145215,-0.2807699421515363,-0.4710769137313582,-0.20520157742530815,-0.5658603392493687,0.20370733019043216,0.6099831633424018
-0.5664324343844249,-0.33260439301028144,-0.4710769137313582,-0.20520157742530815,-0.6496787777237023,0.23397194673181562,0.23711662842245312
-0.48001998360145215,-0.2807699421515363,-0.43150061385171234,-0.4532735091764653,-0.48204190077503517,0.08264886402489827,0.23711662842245312
-0.6528448851673977,-0.43627329472777177,-0.3523480140924207,-0.4532735091764653,-0.7334972161980359,0.20370733019043216,0.23711662842245312
-0.43681375820996576,-0.2289354912927911,-0.3127717142127749,-0.20520157742530815,-0.7754064354352027,0.20370733019043216,-0.13574990649749508
-0.48001998360145215,-0.2807699421515363,-0.43150061385171234,-0.20520157742530815,-0.7334972161980359,-0.008144985599252147,-0.13574990649749508
-0.8688760121248296,-0.5917766473040074,-0.5502295134906499,-0.20520157742530815,-0.8173156546723696,-0.03840960214063562,-0.13574990649749508
-0.9984946882992887,-0.6954455490214977,-0.7085347130092332,-0.20520157742530815,-0.9849525316210367,-0.03840960214063562,-0.5086164414174432
-1.0849071390822613,-0.8509489015977332,-0.7876873127685249,-0.20520157742530815,-1.110680189332537,-0.008144985599252147,-0.5086164414174432
-1.0849071390822613,-1.0582867050327138,-0.7876873127685249,-0.20520157742530815,-1.110680189332537,-0.008144985599252147,-0.5086164414174432
-1.0849071390822613,-1.0582867050327138,-0.8272636126481707,-0.20520157742530815,-1.110680189332537,0.0523842474835148,-0.5086164414174432
-1.1281133644737478,-0.9546178033152235,-0.7876873127685249,-0.20520157742530815,-0.9849525316210367,-0.09893883522340256,-0.5086164414174432
-1.0849071390822613,-0.799114450738988,-0.7085347130092332,-0.20520157742530815,-0.9011340931467031,-0.25026191793031993,-0.5086164414174432
-1.0849071390822613,-0.799114450738988,-0.7085347130092332,-0.20520157742530815,-0.7754064354352027,-0.34105576755447037,-0.5086164414174432
-1.1281133644737478,-1.110121155891459,-0.6689584131295874,-0.20520157742530815,-0.1886773661148676,-0.704231166051072,-0.5086164414174432
-1.1281133644737478,-1.110121155891459,-0.6689584131295874,-0.20520157742530815,-0.35631424306353476,-0.5226434668027712,-0.13574990649749508
-1.0849071390822613,-0.9027833524564783,-0.6293821132499415,-0.20520157742530815,-0.35631424306353476,-0.5529080833441546,-0.5086164414174432
-1.041700913690775,-0.7472799998802429,-0.5898058133702957,-0.20520157742530815,-0.44013268153786833,-0.4621142337200042,-0.13574990649749508
-1.0849071390822613,-0.9027833524564783,-0.6293821132499415,-0.20520157742530815,-0.39822346230070155,-0.4923788502613877,-0.13574990649749508
-0.9984946882992887,-0.6954455490214977,-0.5502295134906499,-0.20520157742530815,-0.6496787777237023,-0.21999730138893644,-0.13574990649749508
-0.7824635613418568,-0.5399421964452621,-0.5502295134906499,-0.20520157742530815,-0.6077695584865356,-0.12920345176478604,0.23711662842245312
-0.7824635613418568,-0.5399421964452621,-0.510653213611004,-0.20520157742530815,-0.44013268153786833,-0.2805265344717034,0.6099831633424018
-0.8688760121248296,-0.5917766473040074,-0.5502295134906499,-0.4532735091764653,-0.23058658535203438,-0.2805265344717034,1.355716233182298
-0.3071950820355066,-0.12526658957530074,-0.07531391493489989,0.042870354325848986,-0.06294970840336721,-0.03840960214063562,1.7285827681022468
0.2544858480538163,0.39307791901215106,-0.035737615055254066,-0.20520157742530815,-0.314405023826368,0.32476579635596603,0.9828496982623499
0.21127962266232989,0.3412434681534059,0.0038386848243917647,-0.4532735091764653,-0.2724958045892012,0.2642365632731991,0.6099831633424018
-0.04795772968658837,0.08207121385967998,-0.15446651469419156,-0.7013454409276224,0.18850560701963354,-0.643701932968305,-0.5086164414174432
-0.7824635613418568,-0.5399421964452621,-0.43150061385171234,-0.7013454409276224,0.23041482625680035,-0.764760399133839,-0.8814829763373915
-0.7824635613418568,-0.5399421964452621,-0.43150061385171234,-0.4532735091764653,0.9009623340514691,-1.218729647254591,-0.5086164414174432
-0.3071950820355066,-0.12526658957530074,-0.3523480140924207,-0.4532735091764653,0.9009623340514691,-1.3397881134201248,-0.8814829763373915
-0.43681375820996576,-0.2289354912927911,-0.43150061385171234,-0.20520157742530815,0.27232404549396716,-0.9160834818407563,-0.5086164414174432
-0.3071950820355066,-0.12526658957530074,-0.4710769137313582,-0.20520157742530815,0.4399609224426343,-1.0674065645476736,-0.5086164414174432
-0.3071950820355066,-0.12526658957530074,-0.5898058133702957,-0.20520157742530815,-0.1886773661148676,-0.5831726998855381,-0.5086164414174432
-0.43681375820996576,-0.2289354912927911,-0.5898058133702957,-0.4532735091764653,-0.5239511200122019,-0.34105576755447037,-0.8814829763373915
-0.48001998360145215,-0.2807699421515363,-0.6689584131295874,-0.7013454409276224,-0.8173156546723696,-0.09893883522340256,-0.8814829763373915
-0.6096386597759113,-0.3844388438690266,-0.8272636126481707,-0.7013454409276224,-1.0268617508582034,0.0523842474835148,-0.8814829763373915
-0.8688760121248296,-0.5917766473040074,-0.8668399125278164,-0.7013454409276224,-0.8592248739095363,-0.06867421868201909,-0.8814829763373915
-0.7824635613418568,-0.5399421964452621,-0.8272636126481707,-0.7013454409276224,-0.6915879969608691,-0.18973268484755298,-0.8814829763373915
-0.8688760121248296,-0.5917766473040074,-0.748111012888879,-0.7013454409276224,-0.5239511200122019,-0.25026191793031993,-0.8814829763373915
-0.8688760121248296,-0.5917766473040074,-0.6293821132499415,-0.7013454409276224,-0.6077695584865356,-0.18973268484755298,-0.8814829763373915
-0.6528448851673977,-0.43627329472777177,-0.6293821132499415,-0.7013454409276224,-0.5658603392493687,-0.18973268484755298,-0.5086164414174432
-0.43681375820996576,-0.2289354912927911,-0.43150061385171234,-0.7013454409276224,-0.35631424306353476,-0.2805265344717034,-0.13574990649749508
0.16807339727084353,0.2894090172946607,-0.2336191144534832,-0.9494173726787796,-0.6077695584865356,-0.09893883522340256,-0.13574990649749508
0.5137232004027346,0.652250173305877,0.043414984704037596,-0.4532735091764653,-0.7334972161980359,0.022119630942131326,-0.13574990649749508
1.0754041304920574,1.1705946818933286,0.36002538374120424,-0.7013454409276224,-0.9011340931467031,0.20370733019043216,-0.13574990649749508
1.1618165812750303,1.2742635836108192,0.5183305832597875,-0.7013454409276224,-0.9849525316210367,0.4760888790628834,-0.13574990649749508
0.7297543273601664,0.8595879767408576,0.3204490838615584,-0.9494173726787796,-0.9849525316210367,0.5063534956042669,-0.5086164414174432
0.4273107496197618,0.5485812715883865,0.043414984704037596,-0.9494173726787796,-0.9849525316210367,0.5063534956042669,-0.8814829763373915
-0.1775764058610475,-0.02159768785781037,-0.3127717142127749,-0.7013454409276224,-0.9430433123838698,0.4458242625214999,-0.8814829763373915
-0.350401307426993,-0.1771010404340459,-0.510653213611004,-0.7013454409276224,-0.8592248739095363,0.2642365632731991,-0.8814829763373915
-0.7824635613418568,-0.5399421964452621,-0.7085347130092332,-0.7013454409276224,-0.8173156546723696,0.08264886402489827,-0.8814829763373915
-0.8688760121248296,-0.5917766473040074,-0.7085347130092332,-0.7013454409276224,-0.7334972161980359,0.11291348056628174,-0.8814829763373915
-0.9552884629078022,-0.6954455490214977,-0.7085347130092332,-0.7013454409276224,-0.9011340931467031,0.35503041289734955,-0.5086164414174432
-0.9984946882992887,-0.6954455490214977,-0.5898058133702957,-0.7013454409276224,-0.6496787777237023,0.14317809710766521,-0.5086164414174432
-0.6096386597759113,-0.3844388438690266,-0.5898058133702957,-0.7013454409276224,-0.6077695584865356,-0.03840960214063562,-0.8814829763373915
-0.9984946882992887,-0.6954455490214977,-0.7085347130092332,-0.7013454409276224,-0.6915879969608691,-0.06867421868201909,-0.8814829763373915
-1.0849071390822613,-0.799114450738988,-0.8668399125278164,-0.7013454409276224,-0.9011340931467031,0.0523842474835148,-0.8814829763373915
-1.0849071390822613,-0.8509489015977332,-0.9064162124074623,-0.20520157742530815,-0.9849525316210367,0.0523842474835148,-0.8814829763373915
-1.041700913690775,-0.8509489015977332,-0.7876873127685249,-0.4532735091764653,-1.0687709700953703,0.14317809710766521,-0.8814829763373915
-0.9120822375163159,-0.6436110981627525,-0.6689584131295874,-0.4532735091764653,-1.0687709700953703,0.14317809710766521,-0.8814829763373915
-0.8688760121248296,-0.5917766473040074,-0.5898058133702957,-0.7013454409276224,-1.0687709700953703,0.20370733019043216,-0.8814829763373915
-0.8688760121248296,-0.6954455490214977,-0.43150061385171234,-0.7013454409276224,-1.0687709700953703,0.23397194673181562,-0.5086164414174432
-0.7392573359503704,-0.488107745586517,-0.39192431397206656,-0.7013454409276224,-0.7754064354352027,-0.008144985599252147,-0.5086164414174432
-0.3071950820355066,-0.12526658957530074,-0.3523480140924207,-0.7013454409276224,-0.7754064354352027,0.022119630942131326,-0.8814829763373915
-0.350401307426993,-0.1771010404340459,-0.3127717142127749,-0.4532735091764653,-0.8592248739095363,0.11291348056628174,-0.8814829763373915
-0.004751504295101987,0.13390566471842516,-0.3127717142127749,0.042870354325848986,-0.7754064354352027,0.11291348056628174,-0.8814829763373915
-0.04795772968658837,0.08207121385967998,-0.3523480140924207,-0.20520157742530815,-0.8173156546723696,0.23397194673181562,-0.8814829763373915
-0.6096386597759113,-0.3844388438690266,-0.510653213611004,-0.20520157742530815,-0.9011340931467031,0.32476579635596603,-0.8814829763373915
-0.6528448851673977,-0.43627329472777177,-0.6293821132499415,-0.20520157742530815,-0.9849525316210367,0.41555964598011647,-1.25434951125734
-0.5664324343844249,-0.33260439301028144,-0.6293821132499415,-0.20520157742530815,-0.9849525316210367,0.5063534956042669,-1.25434951125734
-0.6528448851673977,-0.43627329472777177,-0.6689584131295874,-0.4532735091764653,-0.8592248739095363,0.5063534956042669,-1.25434951125734
-0.5664324343844249,-0.33260439301028144,-0.6293821132499415,-0.4532735091764653,-0.8173156546723696,0.5971473452284173,-0.8814829763373915
-0.5664324343844249,-0.33260439301028144,-0.5502295134906499,-0.9494173726787796,-0.8173156546723696,0.41555964598011647,-1.25434951125734
-0.9984946882992887,-0.799114450738988,-0.748111012888879,-0.9494173726787796,-0.7334972161980359,0.2642365632731991,-1.25434951125734
-0.9552884629078022,-0.7472799998802429,-0.748111012888879,-0.9494173726787796,-0.7334972161980359,0.32476579635596603,-0.8814829763373915
-0.7824635613418568,-0.5399421964452621,-0.6689584131295874,-0.9494173726787796,-0.7334972161980359,0.2642365632731991,-0.8814829763373915
-0.7392573359503704,-0.488107745586517,-0.7085347130092332,-0.9494173726787796,-0.39822346230070155,-0.008144985599252147,-0.8814829763373915
-0.6528448851673977,-0.43627329472777177,-0.5502295134906499,-0.9494173726787796,0.020868730070966374,-0.4621142337200042,-0.8814829763373915
-0.6096386597759113,-0.3844388438690266,-0.6689584131295874,-0.9494173726787796,-0.23058658535203438,-0.4015850006372373,-0.8814829763373915
-0.7824635613418568,-0.5399421964452621,-0.8272636126481707,-0.9494173726787796,-0.48204190077503517,-0.25026191793031993,-0.8814829763373915
-0.9120822375163159,-0.6436110981627525,-0.9064162124074623,-0.9494173726787796,-0.48204190077503517,-0.37132038409585383,-2.3729491160171845
-0.9120822375163159,-0.6436110981627525,-0.9064162124074623,-0.9494173726787796,-0.48204190077503517,-0.37132038409585383,-2.3729491160171845
-0.9984946882992887,-0.6954455490214977,-0.985568812166754,-0.9494173726787796,-0.5239511200122019,-0.4923788502613877,-1.25434951125734
-1.041700913690775,-0.7472799998802429,-0.7876873127685249,-0.9494173726787796,-0.06294970840336721,-0.8858188652993728,-2.3729491160171845
-1.041700913690775,-0.7472799998802429,-0.7876873127685249,-0.9494173726787796,-0.06294970840336721,-0.8858188652993728,-2.3729491160171845
